Book-Title,Book-Author,Year-Of-Publication,ISBN,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Count
10 LITTLE INDIANS,Agatha Christie,1982,0671467212,Pocket,http://images.amazon.com/images/P/0671467212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671467212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671467212.01.LZZZZZZZ.jpg,1
100 Great Fantasy Short Short Stories,Isaac Asimov,1984,0385181655,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385181655.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385181655.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385181655.01.LZZZZZZZ.jpg,1
"100 Great Fantasy Short, Short Stories",Isaac Asimov,1987,0380699176,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380699176.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380699176.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380699176.01.LZZZZZZZ.jpg,1
100 Great Science Fiction Short Short Stories,Isaac Asimov,1985,0380507730,Avon Books,http://images.amazon.com/images/P/0380507730.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380507730.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380507730.01.LZZZZZZZ.jpg,1
100 Malicious Little Mysteries,Isaac Asimov,1993,0880297697,Marboro Books,http://images.amazon.com/images/P/0880297697.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0880297697.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0880297697.01.LZZZZZZZ.jpg,1
101 Silly Monster Jokes,R. L. Stine,1986,0590338897,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590338897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590338897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590338897.01.LZZZZZZZ.jpg,1
12TH NIGHT,William Shakespeare,1983,0671499475,Washington Square Press,http://images.amazon.com/images/P/0671499475.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671499475.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671499475.01.LZZZZZZZ.jpg,1
16 Lighthouse Road,Debbie Macomber,2001,1551668300,Mira,http://images.amazon.com/images/P/1551668300.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668300.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668300.01.LZZZZZZZ.jpg,1
16 Uhr 50 ab Paddington.,Agatha Christie,2001,3502518106,Scherz,http://images.amazon.com/images/P/3502518106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3502518106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3502518106.01.LZZZZZZZ.jpg,1
18 Best Stories by Edgar Allan Poe,Edgar Allan Poe,1983,0440322278,Dell Publishing Company,http://images.amazon.com/images/P/0440322278.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440322278.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440322278.01.LZZZZZZZ.jpg,1
2 Doz Red Roses,Author Unknown,1984,0373026552,Harlequin,http://images.amazon.com/images/P/0373026552.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373026552.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373026552.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea",Jules Verne,1995,0812550927,Tor Books,http://images.amazon.com/images/P/0812550927.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550927.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550927.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (American Short Stories)",Jules Verne,1991,0811468461,Steck-Vaughn Co,http://images.amazon.com/images/P/0811468461.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811468461.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811468461.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (Bantam Classics)",Jules Verne,1985,0553212524,Bantam,http://images.amazon.com/images/P/0553212524.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553212524.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553212524.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (Great Illustrated Classics)",Jules Verne,2002,157765806X,Abdo &amp; Daughters Publishing,http://images.amazon.com/images/P/157765806X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/157765806X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/157765806X.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (Scholastic Classics)",Jules Verne,2003,0439227151,Scholastic Paperbacks,http://images.amazon.com/images/P/0439227151.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439227151.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439227151.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (Treasury of Illustrated Classics)",Jules Verne,2001,0766607135,Modern Publishing,http://images.amazon.com/images/P/0766607135.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0766607135.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0766607135.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea (Wordsworth Collection)",Jules Verne,1998,1853260312,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260312.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260312.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260312.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea / By Jules",Jules Verne,1982,0451518497,Signet Book,http://images.amazon.com/images/P/0451518497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451518497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451518497.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Sea: The Young Collector's Illustrated Classics/Ages 8-12",Jules Verne,1995,1561563072,Kidsbooks.Com,http://images.amazon.com/images/P/1561563072.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1561563072.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1561563072.01.LZZZZZZZ.jpg,1
"20,000 Leagues Under the Seas",Jules Verne,1989,0881010855,Unicorn Pub House,http://images.amazon.com/images/P/0881010855.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0881010855.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0881010855.01.LZZZZZZZ.jpg,1
20000 Leagues Under the Sea,Jules Verne,1992,0590451790,Scholastic Paperbacks (Mm),http://images.amazon.com/images/P/0590451790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590451790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590451790.01.LZZZZZZZ.jpg,1
20000 lieues sous les mers,Jules Verne,2000,2013217854,Hachette Jeunesse,http://images.amazon.com/images/P/2013217854.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2013217854.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2013217854.01.LZZZZZZZ.jpg,1
2001 Cross-Stitch Designs: The Essential Reference Book,Better Homes and Gardens,1999,069620780X,Meredith Books,http://images.amazon.com/images/P/069620780X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/069620780X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/069620780X.01.LZZZZZZZ.jpg,1
204 Rosewood Lane,Debbie Macomber,2002,1551669293,Mira,http://images.amazon.com/images/P/1551669293.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551669293.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669293.01.LZZZZZZZ.jpg,1
20th Century Photography Museum Ludwig Cologne (Klotz),Not Applicable (Na ),1996,3822886483,Taschen America Llc,http://images.amazon.com/images/P/3822886483.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3822886483.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3822886483.01.LZZZZZZZ.jpg,1
"3 Complete Novels: True Betrayals, Montana Sky, Sanctuary",Nora Roberts,2001,0399147314,Putnam Publishing Group,http://images.amazon.com/images/P/0399147314.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399147314.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399147314.01.LZZZZZZZ.jpg,1
311 Pelican Court,Debbie Macomber,2003,1551667193,Mira Books,http://images.amazon.com/images/P/1551667193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551667193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551667193.01.LZZZZZZZ.jpg,1
365 Days of Folk Wisdom: Plain &amp; Simple Advice for Complicated Times (Page-a-Day Perpetuals),Not Applicable (Na ),1997,0761108335,Workman Publishing,http://images.amazon.com/images/P/0761108335.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0761108335.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0761108335.01.LZZZZZZZ.jpg,1
365 Holiday Craft and Activities,Not Applicable (Na ),1999,0785335927,Publications Intl,http://images.amazon.com/images/P/0785335927.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0785335927.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0785335927.01.LZZZZZZZ.jpg,1
365 Steps Towards Harmony: Feng Shui (365 Tips a Year),Not Applicable (Na ),2002,3770170245,DUMONT monte,http://images.amazon.com/images/P/3770170245.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3770170245.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3770170245.01.LZZZZZZZ.jpg,1
365 Ways to Make Love,Janet Dailey,1996,067153632X,Atria,http://images.amazon.com/images/P/067153632X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067153632X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067153632X.01.LZZZZZZZ.jpg,1
3RD GIRL (Hercule Poirot Mysteries (Paperback)),Agatha Christie,1982,0671467190,Pocket,http://images.amazon.com/images/P/0671467190.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671467190.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671467190.01.LZZZZZZZ.jpg,1
44 Cranberry Point,Debbie Macomber,2004,0778320731,Mira,http://images.amazon.com/images/P/0778320731.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0778320731.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0778320731.01.LZZZZZZZ.jpg,1
4:50 From Paddington,Agatha Christie,1992,0006157629,HarperCollins Publishers,http://images.amazon.com/images/P/0006157629.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006157629.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006157629.01.LZZZZZZZ.jpg,1
4:50 From Paddington (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,0451200519,Signet Book,http://images.amazon.com/images/P/0451200519.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451200519.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451200519.01.LZZZZZZZ.jpg,1
4:50 from Paddington,Agatha Christie,2001,1572702281,Audio Partners,http://images.amazon.com/images/P/1572702281.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1572702281.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1572702281.01.LZZZZZZZ.jpg,1
50 Walks in Wiltshire (Walking &amp; Wildlife Aa Guides),Not Applicable (Na ),2002,0749533358,Trafalgar Square,http://images.amazon.com/images/P/0749533358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749533358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749533358.01.LZZZZZZZ.jpg,1
50 Walks in the Lake District (Walking &amp; Wildlife Aa Guides),Not Applicable (Na ),2002,0749533390,Trafalgar Square,http://images.amazon.com/images/P/0749533390.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749533390.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749533390.01.LZZZZZZZ.jpg,1
7 Lb 2 Oz Valentine (The Baby Of The Month Club) (Silhouette Yours Truly),Marie Ferrarella,1996,0373520131,Silhouette,http://images.amazon.com/images/P/0373520131.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373520131.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373520131.01.LZZZZZZZ.jpg,1
7 MINUTES,Author Unknown,1976,0671811223,Pocket,http://images.amazon.com/images/P/0671811223.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671811223.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671811223.01.LZZZZZZZ.jpg,1
8 Million Ways to Die,Lawrence Block,1986,0515088404,Jove Books,http://images.amazon.com/images/P/0515088404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515088404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515088404.01.LZZZZZZZ.jpg,1
80 millions de voyeurs,Ed McBain,1996,2070494594,Gallimard,http://images.amazon.com/images/P/2070494594.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070494594.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070494594.01.LZZZZZZZ.jpg,1
A 2nd Helping of Chicken Soup for the Soul,Jack Canfield,1995,1558743766,Health Communications,http://images.amazon.com/images/P/1558743766.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743766.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743766.01.LZZZZZZZ.jpg,1
A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,1558743316,Health Communications,http://images.amazon.com/images/P/1558743316.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743316.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743316.01.LZZZZZZZ.jpg,1
A 2nd Helping of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1994,1558743324,HCI,http://images.amazon.com/images/P/1558743324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743324.01.LZZZZZZZ.jpg,1
A 2nd Helping of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit (Chicken Soup for the Soul Series (Large Print)),Jack Canfield,1995,1558743820,Health Communications,http://images.amazon.com/images/P/1558743820.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743820.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743820.01.LZZZZZZZ.jpg,1
A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,1558743790,Health Communications,http://images.amazon.com/images/P/1558743790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743790.01.LZZZZZZZ.jpg,1
A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1996,1558743804,HCI,http://images.amazon.com/images/P/1558743804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743804.01.LZZZZZZZ.jpg,1
A 4th Course of Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1997,1558744673,Health Communications,http://images.amazon.com/images/P/1558744673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744673.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744673.01.LZZZZZZZ.jpg,1
A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1997,1558744592,Health Communications,http://images.amazon.com/images/P/1558744592.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744592.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744592.01.LZZZZZZZ.jpg,1
A 5th Portion of Chicken Soup for the Soul : 101 Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1998,1558745432,Health Communications,http://images.amazon.com/images/P/1558745432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558745432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558745432.01.LZZZZZZZ.jpg,1
A 6th Bowl of Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1999,1558746633,Health Communications,http://images.amazon.com/images/P/1558746633.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746633.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746633.01.LZZZZZZZ.jpg,1
A B C MURDERS,Agatha Christie,1982,0671464779,Pocket,http://images.amazon.com/images/P/0671464779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671464779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671464779.01.LZZZZZZZ.jpg,1
A Bachelor and a Baby  (The Mom Squad),Marie Ferrarella,2003,0373765037,Harlequin,http://images.amazon.com/images/P/0373765037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373765037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373765037.01.LZZZZZZZ.jpg,1
A Backward Glance : An Autobiography,Edith Wharton,1998,0684847558,Scribner,http://images.amazon.com/images/P/0684847558.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684847558.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684847558.01.LZZZZZZZ.jpg,1
A Betty Neels Christmas,Betty Neels,2002,0373835345,Harlequin,http://images.amazon.com/images/P/0373835345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373835345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373835345.01.LZZZZZZZ.jpg,1
A Big Operation (The Busy World of Richard Scarrry),Richard Scarry,1995,0689803710,Simon Spotlight,http://images.amazon.com/images/P/0689803710.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689803710.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689803710.01.LZZZZZZZ.jpg,1
A Billionaire and a Baby  (The Mom Squad),Marie Ferrarella,2003,0373245289,Silhouette,http://images.amazon.com/images/P/0373245289.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373245289.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373245289.01.LZZZZZZZ.jpg,1
A Bloodsmoor Romance,Joyce Carol Oates,1983,0446308250,Warner Books,http://images.amazon.com/images/P/0446308250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446308250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446308250.01.LZZZZZZZ.jpg,1
A Book of Irish American Blessings &amp; Prayers,Andrew M. Greeley,1991,0883472694,Ave Maria Press,http://images.amazon.com/images/P/0883472694.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0883472694.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0883472694.01.LZZZZZZZ.jpg,1
A Breach of Promise (William Monk Novels (Hardcover)),Anne Perry,1998,0449908496,Fawcett Books,http://images.amazon.com/images/P/0449908496.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449908496.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449908496.01.LZZZZZZZ.jpg,1
A Breach of Promise (William Monk Novels (Paperback)),Anne Perry,1999,0804118558,Ivy Books,http://images.amazon.com/images/P/0804118558.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804118558.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804118558.01.LZZZZZZZ.jpg,1
A Bride for Donnigan (Women of the West (Paper)),Janette Oke,1999,0764222449,Baker Book House Co,http://images.amazon.com/images/P/0764222449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0764222449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0764222449.01.LZZZZZZZ.jpg,1
A Bride for Donnigan (Women of the West Series),Janette Oke,1993,155661327X,Bethany House Publishers,http://images.amazon.com/images/P/155661327X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155661327X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155661327X.01.LZZZZZZZ.jpg,1
A CHRISTMAS CAROL,Charles Dickens,1983,0671473697,Pocket,http://images.amazon.com/images/P/0671473697.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671473697.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671473697.01.LZZZZZZZ.jpg,1
A CHRISTMAS CAROL A (REISSUE)  CASSETTE,Charles Dickens,1991,0671769324,Audioworks,http://images.amazon.com/images/P/0671769324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671769324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671769324.01.LZZZZZZZ.jpg,1
A CRIME FOR CHRISTMAS NANCY DREW &amp; HARDY BOYS SUPERMYSTERY (Nancy Drew Hardy Boys Super Mystery),Carolyn Keene,1988,0671649183,Simon Pulse,http://images.amazon.com/images/P/0671649183.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671649183.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671649183.01.LZZZZZZZ.jpg,1
A Capital Holiday (Zebra Book.),Janet Dailey,2001,0821772244,Zebra Books,http://images.amazon.com/images/P/0821772244.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821772244.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821772244.01.LZZZZZZZ.jpg,1
A Caretaker of Love (G. K. Hall Romance),Barbara Cartland,2001,0783894619,G. K. Hall &amp; Company,http://images.amazon.com/images/P/0783894619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0783894619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0783894619.01.LZZZZZZZ.jpg,1
A Caribbean Mystery,Agatha Christie,1992,0061003654,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0061003654.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061003654.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061003654.01.LZZZZZZZ.jpg,1
A Caribbean Mystery (Miss Marple Mysteries (Paperback)),Agatha Christie,2001,0451199928,Signet Book,http://images.amazon.com/images/P/0451199928.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451199928.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451199928.01.LZZZZZZZ.jpg,1
A Cast of Corbies (Bardic Choices),Mercedes Lackey,1994,0671722077,Baen,http://images.amazon.com/images/P/0671722077.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671722077.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671722077.01.LZZZZZZZ.jpg,1
A Century of Progress,Fred Saberhagen,1989,0812553411,Tor Books,http://images.amazon.com/images/P/0812553411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812553411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812553411.01.LZZZZZZZ.jpg,1
A Century of Sonnets,James A. Michener,1997,1880510502,State House Press,http://images.amazon.com/images/P/1880510502.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1880510502.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1880510502.01.LZZZZZZZ.jpg,1
"A Chieftain Finds Love (Camfield, No 65)",Barbara Cartland,1989,0515098701,Jove Books,http://images.amazon.com/images/P/0515098701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515098701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515098701.01.LZZZZZZZ.jpg,1
A Child's Garden Of Verses (a Little Golden Book),Robert Louis Stevenson,1957,0307020487,Western Publishing Company,http://images.amazon.com/images/P/0307020487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307020487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307020487.01.LZZZZZZZ.jpg,1
A Child's Garden of Verses (Classics Illustrated),Robert Louis Stevenson,1989,0877016089,Chronicle Books,http://images.amazon.com/images/P/0877016089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877016089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877016089.01.LZZZZZZZ.jpg,1
A Child's Garden of Verses (Dover Children's Thrift Classics),Robert Louis Stevenson,1992,0486273016,Dover Publications,http://images.amazon.com/images/P/0486273016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486273016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486273016.01.LZZZZZZZ.jpg,1
A Child's Garden of Verses (Penguin Popular Classics),Robert Louis Stevenson,1995,0140621512,Penguin Books Ltd,http://images.amazon.com/images/P/0140621512.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140621512.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140621512.01.LZZZZZZZ.jpg,1
